Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
red-dead-redemption-2,https://www.metacritic.com/game/playstation-4/red-dead-redemption-2,Rockstar Games,Rockstar Games,"Oct 26, 2018","PC, Stadia, Xbox One","Developed by the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America’s unforgiving heartland. The game’s vast and atmospheric world also provides the foundation for a brand new online multiplayer experience. America, 1899. The end of the Wild West era has begun. After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang has to rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal fissures threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang that raised him. [Rockstar] Collapse",97,universal acclaim,99,98,1,0,8.7,generally favorable reviews,20245.0,4092.0,481.0,591.0,"Action Adventure, Open-World",32,M,"#1 Best PS4 Game of 2018
#2 Most Discussed PS4 Game of 2018
#2 Most Shared PS4 Game of 2018"
grand-theft-auto-v,https://www.metacritic.com/game/playstation-4/grand-theft-auto-v,Rockstar Games,Rockstar North,"Nov 18, 2014","PC, PlayStation 3, PlayStation 5, Xbox 360, Xbox One, Xbox Series X","The sprawling sun-soaked metropolis of Los Santos is chock full of self-help coaches, starlets and C-List celebrities, once on top of the media world, now struggling to stay relevant in time of economic malaise and lowest-common-denominator reality TV. Amidst this madness, three unique criminals plan their own chances of survival and success: Franklin, a street-level hustler in search of opportunities for serious money; Michael, an ex-con whose ""retirement"" is a less rosy than he hoped it would be; and Trevor, a violent dude driven by the chance for a quick high and the next big score. Nearly out of options, the crew risks it all in a series of daring and dangerous heists that could set them up for life - one way or the other. Collapse",97,universal acclaim,66,66,0,0,8.3,generally favorable reviews,7612.0,746.0,128.0,144.0,"Action Adventure, Modern, Open-World",30,M,"#1 Best PS4 Game of 2014
#3 Most Discussed PS4 Game of 2014
#2 Most Shared PS4 Game of 2014"
persona-5-royal,https://www.metacritic.com/game/playstation-4/persona-5-royal,Atlus,Atlus,"Mar 31, 2020","PC, PlayStation 5, Switch, Xbox One, Xbox Series X","Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth. Collapse",95,universal acclaim,71,70,1,0,8.5,generally favorable reviews,3608.0,796.0,43.0,85.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#1 Best PS4 Game of 2020
#12 Most Discussed PS4 Game of 2020"
the-last-of-us-remastered,https://www.metacritic.com/game/playstation-4/the-last-of-us-remastered,SCEA,Naughty Dog,"Jul 29, 2014",,"The Last of Us has been rebuilt for the PlayStation4 system. Now featuring full 1080p, higher resolution character models, improved shadows and lighting, in addition to several other gameplay improvements. 20 years after a pandemic has radically changed known civilization, infected humans run wild and survivors are killing each other for food, weapons; whatever they can get their hands on. Joel, a violent survivor, is hired to smuggle a 14 year-old girl, Ellie, out of an oppressive military quarantine zone, but what starts as a small job soon transforms into a brutal journey across the U.S. The Last of Us Remastered includes the Abandoned Territories Map Pack, Reclaimed Territories Map Pack, and the critically acclaimed The Last of Us: Left Behind Single Player campaign that combines themes of survival, loyalty, and love with tense, survival-action gameplay.

Remastered Features:
-Explore a brutal post-pandemic world, fully realized with the power of PlayStation4 system
-Includes additional game content: over $30 in value
-Delve into Ellies past in Left Behind, the single-player prequel chapter
-Eight new multiplayer maps in the Abandoned and Reclaimed Territories packs
-In-game cinematic commentary from the cast and creative director Collapse",95,universal acclaim,70,69,1,0,9.2,universal acclaim,18971.0,3048.0,139.0,167.0,"Action Adventure, General, Modern",8,M,"#2 Best PS4 Game of 2014
#1 Most Discussed PS4 Game of 2014
#1 Most Shared PS4 Game of 2014"
god-of-war,https://www.metacritic.com/game/playstation-4/god-of-war,Sony Interactive Entertainment,SCE Santa Monica,"Apr 20, 2018","PC, PlayStation 2","His vengeance against the gods of Olympus far behind him, Kratos now lives as a man in the lands of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same. As mentor and protector to a son determined to earn his respect, Kratos is faced with an unexpected opportunity to master the rage that has long defined him. Questioning the dark lineage he’s passed on to his son, he hopes to make amends for the shortcomings of his past. Set within the untamed forests, mountains, and realms of Norse lore, God of War features a distinctly new setting with its own pantheon of creatures, monsters, and gods. [Playstation.com] Collapse",94,universal acclaim,118,118,0,0,9.1,universal acclaim,22597.0,5134.0,260.0,310.0,"Action Adventure, Linear",No Online Multiplayer,M,"#2 Best PS4 Game of 2018
#1 Most Discussed PS4 Game of 2018
#1 Most Shared PS4 Game of 2018"
the-last-of-us-part-ii,https://www.metacritic.com/game/playstation-4/the-last-of-us-part-ii,"SCEA , Sony Interactive Entertainment",Naughty Dog,"Jun 19, 2020",,"Five years after their dangerous journey across the post-pandemic United States, Ellie and Joel have settled down in Jackson, Wyoming. Living amongst a thriving community of survivors has allowed them peace and stability, despite the constant threat of the infected and other, more desperate survivors. When a violent event disrupts that peace, Ellie embarks on a relentless journey to carry out justice and find closure. As she hunts those responsible one by one, she is confronted with the devastating physical and emotional repercussions of her actions. Collapse",93,universal acclaim,121,113,8,0,5.8,mixed or average reviews,160943.0,38927.0,4551.0,36494.0,"General, Action Adventure, Survival",No Online Multiplayer,M,"#2 Best PS4 Game of 2020
#1 Most Discussed PS4 Game of 2020
#3 Most Shared PS4 Game of 2020"
persona-5,https://www.metacritic.com/game/playstation-4/persona-5,Atlus,Atlus,"Apr 4, 2017",PlayStation 3,"Beneath the veneer of typical urban high school life, a group of teenagers mask their mysterious alter egos, their ""phantom thief"" side. Who are they? Why are they dressed as such? What are their motives? And... why are they being pursued? A picaresque coming-of-age story, Persona 5 brings a new twist to the RPG genre. Assume the role of a second-year high school student who becomes a Persona-user through an unexpected incident. Having moved to Tokyo just before the start of the school year, he finds residence at a cafe run by his parents' friend, and is about to get his first taste of school life in the big city. The protagonist seems quiet and well-mannered at first glance, but gives a completely different impression once he has donned his ""phantom thief"" guise. What is the motivation of his alter ego...? Arsene is the protagonist's initial Persona, characterized by a mask-like face and a pair of huge, black wings. Some suspect an association between its name and the famous gentleman-thief, Arsene Lupin. What is the origin of this Persona, and what power does it hold? This is an account of the wild adventures experienced by a team of young misfits, who grow dramatically along the way. While attending Shujin High School, the protagonist will encounter a number of individuals, each with his or her own distinctive personality and charm. School life in the city is full of surprises and interesting events! It will most definitely be a fun year for the protagonist, living as an ordinary student. However, he and his friends become involved in an incident which leads to the awakening of their Personas. No one would ever suspect that these adolescents will eventually shake the world... Welcome to the next iteration of the Persona series, boasting a brand new metropolitan setting, all-new cast, and fresh, original story. [Atlus]
Collapse",93,universal acclaim,98,97,1,0,8.7,generally favorable reviews,5504.0,962.0,74.0,71.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#1 Best PS4 Game of 2017
#4 Most Discussed PS4 Game of 2017
#2 Most Shared PS4 Game of 2017"
metal-gear-solid-v-the-phantom-pain,https://www.metacritic.com/game/playstation-4/metal-gear-solid-v-the-phantom-pain,Konami,"Kojima Productions, Moby Dick Studio","Sep 1, 2015","PC, PlayStation 3, Xbox 360, Xbox One","Following the prologue METAL GEAR SOLID V: GROUND ZEROES, METAL GEAR SOLID V: THE PHANTOM PAIN concludes the METAL GEAR SOLID V experience by following the story of the protagonist of the series, Big Boss (a.k.a. Snake). The METAL GEAR SOLID V experience is Creator and Director Hideo Kojima's first time incorporating open world gameplay to the groundbreaking METAL GEAR franchise. Collapse",93,universal acclaim,86,84,2,0,8.2,generally favorable reviews,6284.0,787.0,209.0,97.0,"Modern, Action Adventure, Modern, Open-World",16,M,"#1 Best PS4 Game of 2015
#4 Most Discussed PS4 Game of 2015
#3 Most Shared PS4 Game of 2015"
uncharted-4-a-thiefs-end,https://www.metacritic.com/game/playstation-4/uncharted-4-a-thiefs-end,"SCEA , Sony Interactive Entertainment",Naughty Dog,"May 10, 2016",,"Set 3 years after the events of Uncharted 3, Nathan Drake has apparently left the world of fortune hunting behind. However, it doesn’t take long for adventure to come calling when Drake’s brother, Sam, re-emerges asking for his help to save his own life and offering an adventure Drake cannot resist. On the hunt for Captain Henry Avery’s long-lost treasure, Sam and Drake embark on a journey to find Libertalia, the pirate utopia deep in the forests of Madagascar. Uncharted 4: A Thief’s End takes players around the globe, through jungle isles, urban cities and snow-capped peaks on the search for Avery’s fortune. [Naughty Dog] Collapse",93,universal acclaim,113,111,1,1,8.8,generally favorable reviews,16565.0,2858.0,218.0,107.0,"General, Modern, Action Adventure, Linear",10,T,"#1 Best PS4 Game of 2016
#1 Most Discussed PS4 Game of 2016
#4 Most Shared PS4 Game of 2016"
journey,https://www.metacritic.com/game/playstation-4/journey,SCEA,Tricky Pixels,"Jul 21, 2015","iPhone/iPad, PC, PlayStation 3","The pioneers that brought you the award-winning PlayStation Network titles flOw & Flower are back with another title that challenges traditional gaming conventions. With Journey, thatgamecompany (TGC) continues its tradition of delivering simple gameplay and accessible controls in a rich interactive environment that invites players to explore and experience emotional chords that are still uncommon in video games.

An exotic adventure with a more serious tone, Journey presents TGCs unique vision of an online adventure experience. Awakening in an unknown world, the player walks, glides, and flies through a vast and awe-inspiring landscape, while discovering the history of an ancient, mysterious civilization along the way.

Journeys innovative approach to online play encourages players to explore this environment with strangers who cross their path from time to time. By traveling together, they can re-shape the experience creating authentic moments they will remember and discuss with others. Collapse",92,universal acclaim,45,44,1,0,8.3,generally favorable reviews,2701.0,287.0,67.0,58.0,"Action, Platformer, 3D",2,E,"#2 Best PS4 Game of 2015
#13 Most Discussed PS4 Game of 2015
#19 Most Shared PS4 Game of 2015"
