Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
the-legend-of-zelda-breath-of-the-wild,https://www.metacritic.com/game/switch/the-legend-of-zelda-breath-of-the-wild,Nintendo,Nintendo,"Mar 3, 2017",Wii U,"Forget everything you know about The Legend of Zelda games. Step into a world of discovery, exploration and adventure in The Legend of Zelda: Breath of the Wild, a boundary-breaking new game in the acclaimed series. Travel across fields, through forests and to mountain peaks as you discover what has become of the ruined kingdom of Hyrule in this open-air adventure. Explore the wilds of Hyrule any way you like - Climb up towers and mountain peaks in search of new destinations, then set your own path to get there and plunge into the wilderness. Along the way, you'll battle towering enemies, hunt wild beasts and gather ingredients for the food and elixirs you'll need to sustain you on your journey. More than 100 Shrines of Trials to discover and explore - Shrines dot the landscape, waiting to be discovered in any order you want. Search for them in various ways, and solve a variety of puzzles inside. Work your way through the traps and devices inside to earn special items and other rewards that will help you on your adventure.
* Be prepared and properly equipped - With an entire world waiting to be explored, you'll need a variety of outfits and gear to reach every corner. You may need to bundle up with warmer clothes or change into something better suited to the desert heat. Some clothing even has special effects that, for example, can make you faster and stealthier.
* Battling enemies requires strategy - The world is inhabited with enemies of all shapes and sizes. Each one has its own attack method and weaponry, so you must think quickly and develop the right strategies to defeat them.
* amiibo compatibility - Tap the Wolf Link amiibo (sold separately) to make Wolf Link appear in game. Wolf Link will attack enemies on his own and help you find items you're searching for. Collapse",97.0,universal acclaim,109.0,106.0,3.0,0.0,8.7,generally favorable reviews,19516.0,4770.0,403.0,275.0,"Action Adventure, Open-World",No Online Multiplayer,E10+,"#1 Best Switch Game of 2017
#1 Most Discussed Switch Game of 2017
#1 Most Shared Switch Game of 2017"
super-mario-odyssey,https://www.metacritic.com/game/switch/super-mario-odyssey,Nintendo,Nintendo,"Oct 27, 2017",,"New Evolution of Mario Sandbox-Style Gameplay. Mario embarks on a new journey through unknown worlds, running and jumping through huge 3D worlds in the first sandbox-style Mario game since Super Mario 64 and Super Mario Sunshine. Set sail between expansive worlds aboard an airship, and perform all-new actions, such as throwing Mario's cap. Collapse",97.0,universal acclaim,113.0,113.0,0.0,0.0,8.9,generally favorable reviews,7245.0,1757.0,146.0,81.0,"Action, Platformer, 3D",No Online Multiplayer,E10+,"#2 Best Switch Game of 2017
#2 Most Discussed Switch Game of 2017
#2 Most Shared Switch Game of 2017"
portal-companion-collection,https://www.metacritic.com/game/switch/portal-companion-collection,Valve Software,Valve Software,"Jun 28, 2022",,"Including Portal and Portal 2, the Companion Collection comes to Nintendo Switch™ with all the groundbreaking gameplay, dark humor, and exploration that earned the series hundreds of awards. In Portal, you’ll use a highly experimental portal device to solve physical puzzles and challenges. Maneuver objects--and yourself--through space to puzzle your way through the mysterious Aperture Science Laboratories.

Return to Aperture Laboratories in Portal 2 where you’ll once again face off with the lethally inventive, power-mad A.I. named GLaDOS. Meet an expanded cast of characters as you think your way through dangerous, never-before-seen areas of the laboratories and a wider variety of portal puzzles. Plus Portal 2 also includes a co-operative game mode with local, split-screen and online multiplayer so you and a friend can think with portals. Collapse",96.0,universal acclaim,9.0,9.0,0.0,0.0,8.1,generally favorable reviews,122.0,27.0,0.0,8.0,"Miscellaneous, Compilation",,,"#1 Best Switch Game of 2022
#26 Most Discussed Switch Game of 2022"
the-house-in-fata-morgana---dreams-of-the-revenants-edition--,https://www.metacritic.com/game/switch/the-house-in-fata-morgana---dreams-of-the-revenants-edition--,Limited Run Games,HuneX,"Apr 9, 2021",,"
A gothic suspense tale set in a cursed mansion. ‘The House in Fata Morgana’ is a full-length visual novel spanning nearly a millennium that deals in tragedy, human nature, and insanity. This version includes three games and more:
1: The House in Fata Morgana: the main storyline.
2: A Requiem for Innocence: a prequel shedding light on the origins of Fata Morgana’s terrible curse.
3: Reincarnation: a sequel featuring the central cast members reincarnated in the present day. *The part including voices
4: Other additional short stories. Collapse",96.0,universal acclaim,10.0,10.0,0.0,0.0,8.6,generally favorable reviews,839.0,92.0,8.0,45.0,"Adventure, Visual Novel",No Online Multiplayer,M,"#1 Best Switch Game of 2021
#13 Most Discussed Switch Game of 2021"
tetris-effect-connected,https://www.metacritic.com/game/switch/tetris-effect-connected,Enhance Games,"Monstars Inc., Resonair","Oct 8, 2021","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X","Tetris Effect: Connected is the original Tetris Effect with all-new co-op and competitive online and local multiplayer modes. This is Tetris like you've never seen it, or heard it, or felt it beforean incredibly addictive, unique and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time. Collapse",94.0,universal acclaim,22.0,22.0,0.0,0.0,7.9,generally favorable reviews,85.0,22.0,4.0,5.0,"Puzzle, Stacking",8,E,"#2 Best Switch Game of 2021
#32 Most Discussed Switch Game of 2021"
metroid-prime-remastered,https://www.metacritic.com/game/switch/metroid-prime-remastered,Nintendo,"Nintendo, Retro Studios, Iron Galaxy Studios","Feb 8, 2023",,"Intergalactic bounty hunter Samus Aran receives a distress signal from a wrecked frigate in orbit around planet Tallon IV. Upon investigation, the frigate reveals itself to be a Space Pirate research vessel home to terrifying genetic experiments using the mysterious Phazon substance. There, Samus encounters her nemesis, Meta Ridley, whom she pursues to the surface of Tallon IV. It's up to her alone to explore the planet's interconnected regions, investigate its dark secrets, and end the intergalactic threat posed by Phazon.

Experience this critically acclaimed first-person adventure like never before with remastered visuals, audio, controls, and more. Collapse",94.0,universal acclaim,72.0,72.0,0.0,0.0,8.8,generally favorable reviews,697.0,305.0,7.0,10.0,"Action, Shooter, First-Person, Arcade",No Online Multiplayer,T,"#1 Best Switch Game of 2023
#2 Most Discussed Switch Game of 2023"
persona-5-royal,https://www.metacritic.com/game/switch/persona-5-royal,"Sega , Atlus",Atlus,"Oct 21, 2022","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X","Forced to transfer to a high school in Tokyo, the protagonist has a strange dream. ""You truly are a prisoner of fate. In the near future, ruin awaits you."" With the goal of ""rehabilitation"" looming overhead, he must save others from distorted desires by donning the mask of a Phantom Thief.
Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona!
Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life.
Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth. Collapse",94.0,universal acclaim,25.0,25.0,0.0,0.0,8.3,generally favorable reviews,231.0,57.0,6.0,6.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#2 Best Switch Game of 2022
#17 Most Discussed Switch Game of 2022"
hades,https://www.metacritic.com/game/switch/hades,Supergiant Games,Supergiant Games,"Sep 17, 2020","PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre.

BATTLE OUT OF HELL

As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS

The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go.

BEFRIEND GODS, GHOSTS, AND MONSTERS

A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family.

BUILT FOR REPLAYABILITY

New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home.

NOTHING IS IMPOSSIBLE

Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test.

SIGNATURE SUPERGIANT STYLE

The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life.
Collapse",93.0,universal acclaim,48.0,48.0,0.0,0.0,9.0,universal acclaim,802.0,225.0,14.0,17.0,"Role-Playing, Action Adventure, General, Linear, Roguelike",No Online Multiplayer,T,"#1 Best Switch Game of 2020
#5 Most Discussed Switch Game of 2020"
divinity-original-sin-ii---definitive-edition,https://www.metacritic.com/game/switch/divinity-original-sin-ii---definitive-edition,Larian Studios Games,"Larian Studios Games, BlitWorks, The Dragon Commanders","Sep 4, 2019","iPhone/iPad, PC, PlayStation 4, Xbox One","Set a thousand years after the first game, Divinity: Original Sin II presents a darker, more grounded narrative and expands on the tactical combat system of its award-winning predecessor. In Divinity: Original Sin, you were on a quest for the forbidden Source magic. Now, you yourself are a Sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching Void. The Divine is dead and the Void is everywhere. Sourcerers are blamed and the Divine Order is leading the charge against the threat: you. Captured and sent to Fort Joy, you will be ""cured"" of your powers -- no matter the cost. But the Order has secrets of its own that may cast doubt on its so-called holy mission. As you escape from Fort Joy, you realize that if the world remains godless, it will be consumed by the Void. Collapse",93.0,universal acclaim,18.0,18.0,0.0,0.0,8.4,generally favorable reviews,345.0,55.0,4.0,13.0,"Role-Playing, Western-Style",4,M,"#1 Best Switch Game of 2019
#28 Most Discussed Switch Game of 2019"
ori-and-the-will-of-the-wisps,https://www.metacritic.com/game/switch/ori-and-the-will-of-the-wisps,"Microsoft Game Studios , iam8bit",Moon Studios,"Sep 17, 2020","PC, Xbox One, Xbox Series X","From the creators of Ori and the Blind Forest comes the highly-anticipated sequel, Ori and the Will of the Wisps. Embark on an all-new adventure in a vast and exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to discover Ori’s true destiny. Immerse yourself in a hand-crafted narrative experience with deeply emotional storytelling, strikingly beautiful environments, and a stunning soundtrack. Master new skills to guide Ori through a journey of untold danger using newly acquired spirit weapons, spells, and attacks. Utilize an all-new shard system to power-up Ori’s newfound abilities. Face larger-than-life bosses and seek help from an expansive cast of new characters who will help you uncover Ori’s mysterious fate. Race to the top of the leaderboards in the all-new Spirit Trials mode where players dash, burrow, grapple, and leap to high scores in unique speed-run challenges throughout the game. Collapse",93.0,universal acclaim,24.0,24.0,0.0,0.0,8.7,generally favorable reviews,441.0,84.0,7.0,15.0,"Action, Platformer, 2D, , Metroidvania",No Online Multiplayer,E,"#2 Best Switch Game of 2020
#10 Most Discussed Switch Game of 2020"
