Name,Link,Distributer,Developer,Release Date,Also On,Summary,Metascore,Meta Status,# of Critic Reviews,Critic Positive,Critic Mixed,Critic Negative,Userscore,Userscore Status,# of User Reviews,User Positive,User Mixed,User Negative,Genres,# Of Players,Rating,Awards
elden-ring,https://www.metacritic.com/game/xbox-series-x/elden-ring,Bandai Namco Games,From Software,"Feb 25, 2022","PC, PlayStation 4, PlayStation 5, Xbox One","A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date. Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice. George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made. Collapse",96,universal acclaim,19,19,0,0,7.7,generally favorable reviews,2769.0,722.0,87.0,186.0,"Role-Playing, Action RPG",4,M,"#1 Best Xbox Series X Game of 2022
#1 Most Discussed Xbox Series X Game of 2022"
persona-5-royal,https://www.metacritic.com/game/xbox-series-x/persona-5-royal,"Sega , Atlus",Atlus,"Oct 21, 2022","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","Prepare for an all-new RPG experience in Persona 5 Royal based in the universe of the award-winning series, Persona! Don the mask of Joker and join the Phantom Thieves of Hearts. Break free from the chains of modern society and stage grand heists to infiltrate the minds of the corrupt and make them change their ways! Persona 5 Royal is packed with new characters, confidants, story depth, new locations to explore, and a new grappling hook mechanic for stealthy access to new areas. With a new semester at Shujin Academy, get ready to strengthen your abilities in the metaverse and in your daily life. Persona 5 Royal presents a unique visual style and award nominated composer Shoji Meguro returns with an all-new soundtrack. Explore Tokyo, unlock new Personas, customize your own personal Thieves Den, discover a never-before-seen story arc, cutscenes, alternate endings, and more! Even for the most seasoned Phantom Thieves among us, Persona 5 Royal is a new challenge to defy conventions, discover the power within, and fight for justice. Wear the mask. Reveal your truth. Collapse",94,universal acclaim,9,9,0,0,8.4,generally favorable reviews,156.0,35.0,4.0,6.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#2 Best Xbox Series X Game of 2022
#23 Most Discussed Xbox Series X Game of 2022"
the-witcher-3-wild-hunt---complete-edition,https://www.metacritic.com/game/xbox-series-x/the-witcher-3-wild-hunt---complete-edition,CD Projekt Red Studio,CD Projekt Red Studio,"Jan 26, 2023","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world. The Complete Edition contains the base game, offering a huge, over 100-hour long, open-world adventure, as well as both of its massive story expansions: Hearts of Stone & Blood and Wine worth an extra 50 hours of gameplay! It also comes with all additional content released for the game, alongside new items including swords, armor, and alternate outfits inspired by The Witcher Netflix series — and more!

UPDATED FOR XBOX SERIES X|S
Behold the dark fantasy world of the Continent like never before! The Xbox Series X|S version of The Witcher 3: Wild Hunt has been enhanced with numerous visual and technical improvements, including vastly improved level of detail, faster loading times, a range of community created and newly developed mods for the game, real-time ray tracing, and more — all implemented with the power of the new consoles in mind — as well as a built-in Photo Mode.
PLAY AS A HIGHLY TRAINED MONSTER SLAYER FOR HIRE
Trained from early childhood and mutated to gain superhuman skills, strength, and reflexes, witchers are a counterbalance to the monster-infested world in which they live.
Gruesomely destroy foes as a professional monster hunter armed with a range of upgradeable weapons, mutating potions, and combat magic.
Hunt down a wide variety of exotic monsters, from savage beasts prowling mountain passes to cunning supernatural predators lurking in the shadowy back alleys of densely populated cities.
Invest your rewards to upgrade your weaponry and buy custom armor, or spend them on horse races, card games, fist fighting, and other pleasures life brings.

EXPLORE A MORALLY AMBIGUOUS FANTASY OPEN WORLD
Built for endless adventure, the massive open world of The Witcher sets new standards in terms of size, depth, and complexity.
Traverse a fantastical open world: explore forgotten ruins, caves, and shipwrecks, trade with merchants and dwarven smiths in cities, and hunt across the open plains, mountains, and seas.
Deal with treasonous generals, devious witches, and corrupt royalty to provide dark and dangerous services.
Make choices that go beyond good & evil, and face their far-reaching consequences.

TRACK DOWN THE CHILD OF PROPHECY
Take on the most important contract of your life: to track down the child of prophecy, the key to saving or destroying this world.
In times of war, chase down the child of prophecy, a living weapon foretold by ancient elven legends.
Struggle against ferocious rulers, spirits of the wilds, and even a threat from beyond the veil – all hell-bent on controlling this world.
Define your destiny in a world that may not be worth saving.
Collapse",94,universal acclaim,7,7,0,0,8.4,generally favorable reviews,140.0,16.0,0.0,2.0,"Role-Playing, Action RPG",No Online Multiplayer,M,"#1 Best Xbox Series X Game of 2023
#6 Most Discussed Xbox Series X Game of 2023"
hades,https://www.metacritic.com/game/xbox-series-x/hades,Private Division,Supergiant Games,"Aug 13, 2021","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre. Hades is a god-like rogue-like dungeon crawler that combines the best aspects of Supergiant's critically acclaimed titles, including the fast-paced action of Bastion, the rich atmosphere and depth of Transistor, and the character-driven storytelling of Pyre.

BATTLE OUT OF HELL
As the immortal Prince of the Underworld, you'll wield the powers and mythic weapons of Olympus to break free from the clutches of the god of the dead himself, while growing stronger and unraveling more of the story with each unique escape attempt.

UNLEASH THE FURY OF OLYMPUS
The Olympians have your back! Meet Zeus, Athena, Poseidon, and many more, and choose from their dozens of powerful Boons that enhance your abilities. There are thousands of viable character builds to discover as you go.

BEFRIEND GODS, GHOSTS, AND MONSTERS
A fully-voiced cast of colorful, larger-than-life characters is waiting to meet you! Grow your relationships with them, and experience thousands of unique story events as you learn about what's really at stake for this big, dysfunctional family.

BUILT FOR REPLAYABILITY
New surprises await each time you delve into the ever-shifting Underworld, whose guardian bosses will remember you. Use the powerful Mirror of Night to grow permanently stronger, and give yourself a leg up the next time you run away from home.

NOTHING IS IMPOSSIBLE
Permanent upgrades mean you don't have to be a god yourself to experience the exciting combat and gripping story. Though, if you happen to be one, crank up the challenge and get ready for some white-knuckle action that will put your well-practiced skills to the test.
SIGNATURE SUPERGIANT STYLE
The rich, atmospheric presentation and unique melding of gameplay and narrative that's been core to Supergiant's games is here in full force: spectacular hand-painted environments and a blood-pumping original score bring the Underworld to life. Collapse",93,universal acclaim,18,18,0,0,8.6,generally favorable reviews,317.0,79.0,3.0,3.0,"Role-Playing, Action Adventure, Linear, Roguelike",No Online Multiplayer,T,"#1 Best Xbox Series X Game of 2021
#17 Most Discussed Xbox Series X Game of 2021"
the-stanley-parable-ultra-deluxe,https://www.metacritic.com/game/xbox-series-x/the-stanley-parable-ultra-deluxe,"Galactic Cafe , Crows Crows Crows",Crows Crows Crows,"Apr 27, 2022","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","The Stanley Parable: Ultra Deluxe is an expanded re-imagining of 2013's The Stanley Parable. You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will become powerless. You are not here to win. The Stanley Parable is a game that plays you.",93,universal acclaim,7,7,0,0,8.6,generally favorable reviews,57.0,17.0,0.0,2.0,"Adventure, 3D, First-Person",No Online Multiplayer,E10+,"#3 Best Xbox Series X Game of 2022
#40 Most Discussed Xbox Series X Game of 2022"
forza-horizon-5,https://www.metacritic.com/game/xbox-series-x/forza-horizon-5,Xbox Game Studios,Playground Games,"Nov 5, 2021","PC, Xbox One","Your Ultimate Horizon Adventure awaits! Explore the vibrant and ever-evolving open world landscapes of Mexico with limitless, fun driving action in hundreds of the world’s greatest cars.",92,universal acclaim,103,103,0,0,8.2,generally favorable reviews,3801.0,1261.0,85.0,282.0,"Racing, Simulation, Automobile",12,E,"#2 Best Xbox Series X Game of 2021
#2 Most Discussed Xbox Series X Game of 2021"
rogue-legacy-2,https://www.metacritic.com/game/xbox-series-x/rogue-legacy-2,Cellar Door Games,Cellar Door Games,"Apr 28, 2022","PC, Switch, Xbox One","Rogue Legacy 2 is what you'd get if you mashed Rogue Legacy and a sequel together. Every time you die, your children will succeed you, and each child is unique. Your daughter might be a Colourblind Archer, and your son could be a Pacifistic Chef. Either way, one of them is getting conscripted.",90,universal acclaim,16,16,0,0,7.8,generally favorable reviews,39.0,14.0,2.0,3.0,"Action, Role-Playing, Platformer, Roguelike, 2D",No Online Multiplayer,E10+,"#4 Best Xbox Series X Game of 2022
#39 Most Discussed Xbox Series X Game of 2022"
persona-4-golden,https://www.metacritic.com/game/xbox-series-x/persona-4-golden,"Sega , Atlus",Atlus,"Jan 19, 2023","PC, PlayStation 4, PlayStation Vita, Switch, Xbox One","
Inabaa quiet town in rural Japan sets the scene for budding adolescence in Persona 4 Golden.

A coming of age story that sets the protagonist and his friends on a journey kickstarted by a chain of serial murders. Explore meeting kindred spirits, feelings of belonging, and even confronting the darker sides of one's self.
With an overall Metacritic score of 93 and a multitude of awards, fan-adored Persona 4 Golden stands as one of the finest RPGs ever made, delivering on enthralling storytelling and quintessential Persona gameplay.

Key Features include:

* Enjoy gameplay with variable framerates
* Experience the world of Persona on PC in Full HD
* Steam Achievements and Trading Cards
* Choose between Japanese and English VO Collapse",90,universal acclaim,8,8,0,0,8.7,generally favorable reviews,24.0,5.0,1.0,0.0,"Role-Playing, Japanese-Style",No Online Multiplayer,M,"#2 Best Xbox Series X Game of 2023
#11 Most Discussed Xbox Series X Game of 2023"
microsoft-flight-simulator,https://www.metacritic.com/game/xbox-series-x/microsoft-flight-simulator,"Microsoft Game Studios , Microsoft , Xbox Game Studios",Asobo Studio,"Jul 27, 2021","PC, Xbox One","From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world.",90,universal acclaim,34,34,0,0,7.9,generally favorable reviews,594.0,172.0,10.0,36.0,"Simulation, Flight, Civilian",,E,"#3 Best Xbox Series X Game of 2021
#8 Most Discussed Xbox Series X Game of 2021"
hogwarts-legacy,https://www.metacritic.com/game/xbox-series-x/hogwarts-legacy,"Warner Bros. Interactive Entertainment , Warner Bros. Games","Avalanche Software, Portkey Games","Feb 7, 2023","PC, PlayStation 4, PlayStation 5, Switch, Xbox One","LIVE THE UNWRITTEN - Hogwarts Legacy is an immersive, open-world action RPG set in the world first introduced in the Harry Potter books. Now you can take control of the action and be at the center of your own adventure in the wizarding world. Embark on a journey through familiar and new locations as you explore and discover fantastic beasts, customize your character and craft potions, master spell casting, upgrade talents, and become the wizard you want to be.

Experience Hogwarts in the 1800s. Your character is a student who holds the key to an ancient secret that threatens to tear the wizarding world apart. You have received a late acceptance to the Hogwarts School of Witchcraft and Wizardry and soon discover that you are no ordinary student: you possess an unusual ability to perceive and master Ancient Magic. Only you can decide if you will protect this secret for the good of all, or yield to the temptation of more sinister magic.

Discover the feeling of living at Hogwarts as you make allies, battle Dark wizards, and ultimately decide the fate of the wizarding world. Your legacy is what you make of it. Collapse",90,universal acclaim,16,16,0,0,8.9,generally favorable reviews,695.0,235.0,11.0,18.0,"Action Adventure, Open-World, Role-Playing, Western-Style",No Online Multiplayer,T,"#3 Best Xbox Series X Game of 2023
#2 Most Discussed Xbox Series X Game of 2023"
