Name,GameGrin,Wired UK,Vgames,CD-Action,PLAY! Zine,Nintendo Force Magazine,App Trigger,RPGamer,LEVEL (Czech Republic),Vooks,Post Arcade (National Post),GameOver.gr,GameSpew,Games.cz,GRYOnline.pl,Universo Nintendo,Impulsegamer,GameCritics,Nintendo Enthusiast,Twinfinite,TrueGaming,ZTGD,Areajugones,Critical Hit,Pocket Gamer UK,Digitally Downloaded,New York Daily News,M3,The Sydney Morning Herald,Let's Play Video Games,Digital Spy,Cubed3,Atomix,Forbes,DualShockers,Yahoo!,Cheat Code Central,The Daily Dot,Trusted Reviews,GamesBeat,COGconnected,The Digital Fix,Telegraph,IBTimes UK,Digital Chumps,SpazioGames,Meristation,Game Revolution,USgamer,Game Rant,GamingTrend,Giant Bomb,Guardian,Game Informer,Polygon,GamesRadar+,RPG Site,Nintendo Life,3DJuegos,FNintendo,Gamer.nl,GameSpot,God is a Geek,IGN,Metro GameCentral,Stevivor,Time,Attack of the Fanboy,Destructoid,Edge Magazine,GameCrate,LevelUp,Wccftech,XGN,The Games Machine,IGN Spain,Hobby Consolas,Multiplayer.it,Games Master UK,Switch Player,RPG Fan,IGN Italia,NintendoWorldReport,NZGamer,JeuxActu,EGM,CGMagazine,Vandal,GamePro Germany,Game World Navigator Magazine,InsideGamer.nl,4Players.de,games(TM),DarkStation,Hardcore Gamer,Arcade Sushi,Washington Post,VideoGamer,Everyeye.it,Shacknews,Gameblog.fr,Easy Allies,TheSixthAxis,We Got This Covered,Eurogamer Italy,New Game Network,The Jimquisition,Gamer.no,Slant Magazine,Ars Technica,Eurogamer,Glixel,Kotaku,Mashable,The Verge,Vice,Wired,IGN Japan,FANDOM,Gameplanet,DarkZero,Gaming Age,GameSpace,AusGamers,Game Over Online,Power Unlimited,Merlin'in Kazanı (Turkey),Riot Pixels,Video Chums,Metro Montreal,Toronto Sun,Worth Playing,Digital Trends,CNET,The A.V. Club,Tired Old Hack,VG247,PC Games,SECTOR.sk,Nintenduo,Shindig,But Why Tho?,Noisy Pixel,The Mako Reactor,Pure Nintendo,Nintendojo,Gamezebo,Nintendo Insider,NME,TouchArcade,Nintenderos,Starbit,Pocket Tactics,Movies Games and Tech,VGC,Comicbook.com,GGRecon,PCMag,Dexerto,Eurogamer Germany,Gamereactor Finland,Gamereactor Spain,Screen Rant,GAMINGbible,Checkpoint Gaming,INVEN,Press Start Australia,Siliconera,TierraGamer,My Nintendo News,GameSkinny,GAMES.CH,Gamereactor UK,GamingBolt,IGN Adria,Jeuxvideo.com,TheGamer,WellPlayed,Gfinity,Player 2,Ninty Fresh Magazine,BaziCenter,Hey Poor Player,GameMAG,Daily Star,Cultured Vultures,Finger Guns,The Escapist,Gamersky,PlayGround.ru,Variety,The Indie Game Website,Gaming Nexus,Malditos Nerds,Carole Quintaine,MGG,MMORPG.com,British GQ,KeenGamer,Tech-Gaming,IGN Portugal,iMore,MGG Spain,Het Nieuwsblad,Launcher (The Washington Post),GameByte,IGN France,Softpedia,GamesHub,The Enemy,Oyungezer,Gamepressure,The Independent,GamersRD,Inverse,PlaySense,The Loadout,Gamers Heroes,IndieWire,Gamer Escape,NPR,Quarter to Three,Gamers' Temple,The So Videogames Podcast,T3,IGN Brasil,Buried Treasure,Gamereactor Sweden,Gamereactor Norway,Gamereactor Denmark,Eurogamer Poland,Strategy Gamer,UploadVR
the-legend-of-zelda-breath-of-the-wild,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,100.0,100,100,100.0,100,100,100,100.0,100,100,100.0,100.0,100,100,100.0,100,100.0,100.0,100,100,100,100,100.0,100.0,100,100,100.0,100,100,100,100,100,100,100,100.0,100,100.0,98,98.0,98,98.0,97,97.0,97,97,96.0,96.0,96,96.0,95,95.0,95.0,95,95.0,95,94.0,93.0,93.0,91,90.0,90.0,90.0,90.0,90.0,90,90,90,90.0,90.0,90,90.0,90,84.0,70,60.0,60.0,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super-mario-odyssey,100.0,,100.0,100.0,75.0,95.0,95.0,,100.0,100,90.0,95.0,100.0,100.0,95.0,,,80.0,100.0,100,100.0,90.0,100,100.0,100.0,100.0,,80.0,100.0,,,100.0,100.0,95.0,100,90,96.0,90,100,100,100.0,100,100,100.0,100.0,95,97,100.0,100,100.0,100.0,100,100,98,95,100.0,,100,100,100.0,95,100,100,100,100,95,,,95,100.0,90,99.0,97,97.0,97,97.0,98,94,94.0,100.0,,95.0,100,95.0,85.0,100,95.0,96,95.0,92.0,95.0,90,100.0,90.0,100.0,,90.0,100,97,90,100.0,100.0,100,100.0,90,90.0,...,90.0,90.0,...,...,80,...,,...,...,,100.0,100.0,100.0,100.0,100.0,100.0,98.0,96.0,95.0,94.0,93.0,91.0,90.0,90.0,87.0,80.0,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portal-companion-collection,,,,,,100.0,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,90,,,,,100,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,95.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-house-in-fata-morgana---dreams-of-the-revenants-edition--,,,,,,85.0,,,,,,,,,,100.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tetris-effect-connected,,,,,,95.0,,,,,,,90.0,,,,,,95.0,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,90,100,,,,,,,,,,,,,,90,,,90.0,,,95,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,85.0,100.0,100.0,100,100.0,100.0,90,90.0,90,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metroid-prime-remastered,,,100.0,,,,100.0,,,,,,,90.0,,,,,,100,,,93,,,,100.0,,,,,,95.0,100.0,95,,,,,,100.0,,100,,95.0,,95,,,,90.0,,,95,...,90.0,,100,,,90,,100,100,100,100,,,85,,,,,,95,80.0,95,90,,100.0,,,100,,,,90.0,95,87.0,,,88,,,100.0,,,,85,,90.0,,...,100.0,,,75,90.0,,,,,...,,,,,,,,,,,100.0,,,90.0,,90.0,,,90.0,,,,,,90.0,90.0,91.0,,100.0,100.0,100.0,100.0,100.0,90.0,,,100.0,95,,100,,100,100,100.0,100.0,100,100.0,100.0,100.0,100,100,95.0,95.0,95,90.0,90.0,90,90.0,90.0,90.0,90.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persona-5-royal,,,95.0,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,85.0,,,,,,,,,100.0,,,,,,,,100,...,,,,,,,,,,,,,,,,,,,96,,,97,,90,,,,90.0,100,,,,,,,90.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,95.0,,,,,,100.0,100,,90,,,,,,100,,,,90,,,,,,95.0,,,,,100.0,,,100.0,95,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hades,100.0,,,,,,,,,90,,,90.0,,,,100.0,,95.0,90,,,,90.0,,90.0,,,,,,90.0,95.0,,,,,,,,,100,,,90.0,93,,,,,95.0,,,,...,,100.0,100,90,,,90,95,,80,,,,,,90,,,,,,93,,,90.0,,91.0,100,,,,100.0,,,,,,,100.0,90.0,,,,92,90,,,,100.0,,85.0,,,,,,,,,...,,,,,,,100.0,,,,,,,88.0,,,97.0,,,...,,,,,,,,,,95.0,100.0,,100,,,,100.0,90,,,,,,,,,,90,100,,,,,,,,,,,,90.0,,,,100.0,95,95.0,90.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divinity-original-sin-ii---definitive-edition,,,,,,,,,,,,,,,,,,,95.0,,,,,95.0,,,,,,,,,,,85,,,,,,,,,,,,,,,,90.0,,,,,,,90,90,90.0,,100,90,,,,,,,,,,,,,,,,,100.0,,,95,,,,,,,,,90,,,,,,,,,90.0,,...,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,100,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ori-and-the-will-of-the-wisps,,,90.0,,,,,,,,,,90.0,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,95.0,100,,,96.0,,,,,,,,,,,,,90,,,,,90,,,,,,,,,,,,,,93,90,,100.0,,,95,,,,,,,,,91,,,,,,,90,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,95.0,,,100,,,95,,,,,,,,,,,,,,,,,80.0,,,,,,,,90.0,90.0,,,,90,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
